id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd,uy,uc
25,1982,0,0,.2801486,1,.0243368,1,3,.5116805,-.1660136
25,1983,0,0,-.3215492,1,.4562042,1,3,.1901313,.2901906
25,1984,0,0,-.0290953,1,-.2414248,1,3,.161036,.0487658
25,1985,0,0,.0569658,1,-.114273,1,3,.2180017,-.0655071
25,1986,0,0,-.0446946,1,.6252735,1,3,.1733072,.5597663
25,1987,0,1,.4073689,1,0,0,3,.5806761,
25,1988,0,1,0,0,0,0,3,,
25,1989,0,1,0,0,0,0,3,,
25,1990,0,0,0,0,0,0,3,,
25,1991,0,0,0,0,0,0,3,,
25,1992,0,0,0,0,0,0,3,,
26,1979,0,0,0,0,0,0,3,,
26,1980,0,0,0,0,0,0,3,,
26,1981,0,0,0,0,0,0,3,,
26,1982,0,0,0,0,0,0,3,,
26,1983,0,0,0,0,0,0,3,,
26,1984,0,0,0,0,0,0,3,,
26,1985,0,0,0,0,0,0,3,,
26,1986,0,0,0,0,0,0,3,-.3230138,-.0011869
26,1987,0,1,.2298386,1,0,0,3,-.0931752,
26,1988,0,1,-.2649651,1,0,0,3,-.3581402,
26,1989,0,1,.1465548,1,0,0,3,-.2115854,-.1843957
26,1990,0,0,-.4415179,1,-.0585486,1,3,-.6531034,-.2429443
26,1991,0,0,.8103138,1,.393107,1,3,.1572104,.1501627
26,1992,0,0,-.1736403,1,-.3359724,1,3,-.0164299,-.1858097
27,1979,0,0,-.2756907,1,1.675709,1,3,-.5262494,-.183543
27,1980,0,0,.0009621,1,.4013655,1,3,-.5252873,.2178226
27,1981,0,0,.1303947,1,.0804448,1,3,-.3948925,.2982674
27,1982,0,0,-.1706085,1,-.1758503,1,3,-.565501,.1224172
27,1983,0,0,.0608916,1,.1745415,1,3,-.5046095,.2969587
27,1984,0,0,.0316194,1,-.1141007,1,3,-.4729901,.182858
27,1985,0,0,.5843643,1,-.1107058,1,3,.1113742,.0721521
27,1986,0,0,-.8784585,1,-.1879779,1,3,-.7670843,-.1158257
27,1987,0,1,-.0560182,1,0,0,3,-.8231025,
27,1988,0,1,.1535699,1,0,0,3,-.6695325,
27,1989,0,1,-.1783093,1,0,0,3,-.8478418,-.1224733
27,1990,0,0,.2202013,1,-.5338744,1,3,-.6276405,-.6563478
27,1991,0,0,.1544108,1,.5484728,1,3,-.4732298,-.1078749
27,1992,0,0,-.1090497,1,-.8580734,1,3,-.5822795,-.9659483
28,1979,0,0,.2711105,1,.29629,1,3,.5330501,.6847264
28,1980,0,0,-.0845668,1,-.3651146,1,3,.4484833,.3196118
28,1981,0,0,.0208471,1,.7109138,1,3,.4693304,1.030526
28,1982,0,0,-.1568451,1,-.8423967,1,3,.3124853,.1881289
28,1983,0,0,-.0980645,1,-.182775,1,3,.2144208,.0053539
28,1984,0,0,.2001807,1,.4227964,1,3,.4146015,.4281503
28,1985,0,0,.0078118,1,-.5168335,1,3,.4224133,-.0886832
28,1986,0,0,-.1787981,1,-.4379887,1,3,.2436152,-.5266719
28,1987,0,1,.0946518,1,0,0,3,.338267,
28,1988,0,1,-.1030819,1,0,0,3,.2351851,
28,1989,0,1,-.2195158,1,0,0,3,.0156693,-.7173227
28,1990,0,0,.3772758,1,.0496767,1,3,.3929452,-.667646
28,1991,0,0,-.3177976,1,.3332424,1,3,.0751476,-.3344036
28,1992,0,0,-.5001137,1,-.7019665,1,3,-.4249661,-1.03637
29,1979,0,0,-.0819194,1,-.012048,1,3,.035578,-.2237909
29,1980,0,0,-.0373087,1,.0769767,1,3,-.0017306,-.1468142
29,1981,0,0,.1468952,1,.0139055,1,3,.1451646,-.1329087
29,1982,0,0,-.084198,1,-.0640526,1,3,.0609666,-.1969613
29,1983,0,0,.0268957,1,.1321931,1,3,.0878622,-.0647682
29,1984,0,0,.0886339,1,-.0740617,1,3,.1764962,-.1388298
29,1985,0,0,-.0953535,1,-.0105157,1,3,.0811427,-.1493456
29,1986,0,0,-.1381283,1,-.0564821,1,3,-.0569856,-.2058277
29,1987,0,1,.0202858,1,0,0,3,-.0366998,
29,1988,0,1,.0350372,1,0,0,3,-.0016625,
29,1989,0,1,-.1306787,1,0,0,3,-.1323412,-.2183757
29,1990,0,0,-.125894,1,-.2818362,1,3,-.2582352,-.500212
29,1991,0,0,.2220589,1,-.1946687,1,3,-.0361763,-.6948806
29,1992,0,0,-.1703079,1,.3847035,1,3,-.2064842,-.3101771
30,1979,0,0,-.3263412,1,-.0827906,1,3,-.1835109,-.0885474
30,1980,0,0,-.1224564,1,.2614302,1,3,-.3059674,.1728828
30,1981,0,0,.2051007,1,-.4078915,1,3,-.1008666,-.2350087
30,1982,0,0,.4079486,1,.0950828,1,3,.3070819,-.1399259
30,1983,0,0,.0343598,1,.1837167,1,3,.3414418,.0437909
30,1984,0,0,-.4072313,1,-.4161684,1,3,-.0657896,-.3723775
30,1985,0,0,-.422729,1,-.0118009,1,3,-.4885186,-.3841784
30,1986,0,0,-.190346,1,-.6272922,1,3,-.6788645,-1.011471
30,1987,0,1,.4201157,1,0,0,3,-.2587489,
30,1988,0,1,.0170526,1,0,0,3,-.2416963,
30,1989,0,1,.1789241,1,0,0,3,-.0627721,-.1970286
30,1990,0,0,.0402179,1,-.6403798,1,3,-.0225542,-.8374084
30,1991,0,0,.0352987,1,.1747069,1,3,.0127445,-.6627015
30,1992,0,0,.2156261,1,-.145414,1,3,.2283707,-.8081155
31,1979,0,0,0,0,0,0,3,,
31,1980,0,0,0,0,0,0,3,,
31,1981,0,0,0,0,0,0,3,,
31,1982,0,0,0,0,0,0,3,,
31,1983,0,0,0,0,0,0,3,,
31,1984,0,0,0,0,0,0,3,,
31,1985,0,0,0,0,0,0,3,,
31,1986,0,0,0,0,0,0,3,,
31,1987,0,1,0,0,0,0,3,,
31,1988,0,1,0,0,0,0,3,-.0890852,
31,1989,0,1,-.3092508,1,0,0,3,-.398336,.0752704
31,1990,0,0,.3611247,1,-.0541827,1,3,-.0372113,.0210878
31,1991,0,0,.0531767,1,.1282786,1,3,.0159655,.1493664
31,1992,0,0,-.2782625,1,-.2771932,1,3,-.2622971,-.1278268
32,1979,0,0,0,0,0,0,3,,
32,1980,0,0,0,0,0,0,3,,
32,1981,0,0,0,0,0,0,3,,
32,1982,0,0,0,0,0,0,3,,
32,1983,0,0,0,0,0,0,3,,
32,1984,0,0,0,0,0,0,3,,
32,1985,0,0,0,0,0,0,3,,
32,1986,0,0,0,0,0,0,3,,
32,1987,0,1,0,0,0,0,3,,
32,1988,0,1,0,0,0,0,3,,
32,1989,0,1,0,0,0,0,3,-.1306315,-.1943249
32,1990,0,0,-.2264329,1,-.1334556,1,3,-.3570644,-.3277805
